Store_ID,Close_date,SALES,Pop_45to50,Hisp_pop,Cauc_pop,Af_Am_pop,Asian_pop,Single_pop,Married_pop,Inc_40Kto100K,Inc_GT_100K,per_cap_inc,avg_inc,Educ_Bachelors,Educ_GE_Master,Occ_business,Occ_financial,Occ_computer,Occ_engineer,Occ_social_science,Occ_repair,played_baseball,played_basketball,played_bowling,played_football,played_hockey,played_volleyball,played_yoga,exercise_regularly,restaurant_score,night_life_score,music,football,baseball,basketball,soccer,university,CC,DT,BT,champ,stand_alone,strip_mall,life_style,pop_growth,region,Hooters,TP,BWW,Metrics
49,,2508238.07,50,225,3671,245,355,1247,1849,227,41996,42548,89294.41,906,653,62,66,127,53,108,0,84.104,85.3338,94.2426,82.2457,79.0132,93.3764,147.64,117.0934,97.9229,127.7235,0,0,0,0,0,1,1,yes,low,Y,0,0,1,3,e,1,0,0,3
50,,2536434.3,42,216,1690,151,58,356,859,82,50329,68763,174128.67,405,180,27,35,83,29,4,1,89.2027,98.917,104.5882,89.9997,94.5692,78.2116,180.7481,139.281,75.6447,112.2698,0,0,0,0,1,1,1,no,low,N,0,0,1,3,e,1,0,0,3
51,,2575536.82,142,356,7789,2453,165,4345,2524,275,17392,16264,41202.66,892,264,36,23,142,31,3,21,122.6829,99.066,90.6742,103.9889,97.6155,128.4214,90.6674,84.1734,93.3174,114.4967,0,1,0,0,0,1,1,no,low,N,0,0,1,3,e,1,0,0,3
52,,2599025.6,17,86,3273,114,258,2204,699,62,18120,18694,36806.02,522,215,40,63,85,48,165,3,138.4831,52.297,54.7127,53.4634,48.556,167.9409,68.6807,88.7945,49.379,107.9854,0,1,0,0,0,1,1,no,low,Y,0,0,1,3,e,1,0,0,3
53,,2603526.85,5,44,457,3,5,47,308,33,44830,48800,116341.2,118,63,19,11,15,8,11,0,101.2083,108.4731,123.6408,99.9076,113.202,98.8158,156.02,126.2361,101.625,123.3746,0,0,0,1,0,1,1,no,high,N,0,0,1,3,e,0,0,0,3
54,,2618887.85,263,831,9767,380,349,2343,4719,735,37844,36411,93289.77,2305,720,205,208,208,96,39,47,86.9828,94.238,105.2927,89.3998,92.0157,87.1799,115.9175,109.8109,109.44,117.5916,0,0,0,1,0,1,1,yes,low,N,0,0,1,2,SWest,0,0,0,3
55,,2619532.57,64,276,1574,376,79,505,773,133,32629,26790,76597.66,340,88,16,9,15,17,6,8,78.395,79.472,86.036,76.4046,88.452,75.2651,92.4218,105.3815,103.8387,109.1966,0,1,1,0,0,1,1,no,low,Y,0,0,1,2,SWest,0,0,0,2
56,,2648467.91,40,67,1577,324,128,460,889,130,43859,40380,91014.78,428,201,20,39,60,60,16,3,93.1201,100.6178,110.463,93.7548,98.5682,93.8943,136.9811,117.6223,105.8552,121.2343,0,1,1,0,0,1,1,no,low,Y,1,0,0,2,SWest,0,0,0,2
57,,2652158.47,246,498,10971,200,456,1940,5789,734,32015,33629,98899.85,2610,908,337,318,224,137,84,54,103.9243,113.7306,129.6877,101.0984,118.2971,104.8936,142.9018,121.7345,110.3365,126.2059,0,1,0,1,0,1,1,no,low,Y,1,0,0,2,SWest,0,0,0,2
58,,2663431.33,191,435,9244,401,246,2090,4594,662,25768,29287,77132.49,2024,735,174,203,136,154,24,74,92.3958,92.4998,104.7429,91.0445,96.1056,91.0199,104.5603,105.8567,107.5096,109.7381,0,1,1,0,0,1,2,yes,high,N,1,0,0,2,SWest,0,0,0,2
